"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TP53",0.0392863975619944,-0.541123726113307,0.027,0.042,1
"MSMO1",0.0393165724466409,0.661943141948273,0.038,0.024,1
"CALCOCO1",0.0393202199201524,-0.635569186972401,0.028,0.042,1
"DNAJA2",0.0394332997623723,0.534296630205266,0.123,0.099,1
"OAT",0.0395349147979203,1.02770398759451,0.053,0.037,1
"CLU",0.039561392107169,-3.80470530580962,0.014,0.025,1
"VDAC3",0.0397696521656072,-0.638993423575747,0.184,0.155,1
"EPRS",0.03984168488702,0.448535509837209,0.082,0.061,1
"C11orf80",0.0398501968682223,-1.88826412106968,0.005,0.012,1
"ITCH",0.0399328958678083,-1.05722185423426,0.015,0.026,1
"LRP10",0.0399337834488467,0.362496839019832,0.116,0.093,1
"IRAK2",0.0399445096169113,-1.67136010910675,0.005,0.012,1
"IL18R1",0.0399803779169228,0.994274482140803,0.018,0.009,1
"KIF13B",0.0400019999560653,-0.799338093516172,0.007,0.015,1
"KMT2A",0.0401713623229765,0.369462174421112,0.084,0.064,1
"NF2",0.0401954184697529,-1.21036438298884,0.011,0.02,1
"SLC37A1",0.0402257262693171,-0.710590217214057,0.014,0.025,1
"GNB5",0.0402954059835152,0.346067525155549,0.042,0.027,1
"SIPA1L3",0.0403553964391572,-1.67298660427608,0.005,0.012,1
"CDK19",0.0404352612956868,-0.270161320190544,0.014,0.025,1
"UAP1",0.0404912154477546,0.700250199188291,0.043,0.028,1
"MLEC",0.0404941961910246,-0.346323384050087,0.05,0.069,1
"KTI12",0.0405112289439196,0.777807752508964,0.038,0.024,1
"CKS1B",0.0406063991782869,-1.03676372540019,0.059,0.079,1
"IL18BP",0.0407301645264731,-0.679107833845016,0.014,0.025,1
"DUSP5",0.0407787082462093,-0.55552767671037,0.027,0.042,1
"UNC13D",0.0408122037738217,0.590943840134008,0.067,0.049,1
"RP11-110G21.1",0.0408196487959189,0.637616780918408,0.015,0.007,1
"SLC2A8",0.040819648795919,-0.671164393827714,0.007,0.015,1
"BMP2K",0.0408660165052401,-1.24037386151796,0.005,0.012,1
"AP5M1",0.0408862900013922,0.568171517674191,0.05,0.034,1
"ERN1",0.0409738258917913,0.723663113264976,0.057,0.041,1
"PQLC2",0.0410589055115504,-1.06815506386799,0.005,0.012,1
"FARP2",0.0412849170590536,-1.08935084022668,0.005,0.012,1
"RP11-262H14.4",0.0412849170590536,-1.20738776888314,0.005,0.012,1
"RP11-35G9.3",0.0413981848659049,-0.655555279304161,0.031,0.046,1
"LENG9",0.041479479095174,-1.05424227137137,0.005,0.012,1
"EDEM2",0.0415801019217749,-0.274524561409371,0.051,0.071,1
"AMMECR1",0.0415975643205306,1.03374429384102,0.025,0.014,1
"FAM53B",0.0416676110091626,-0.564752026471457,0.02,0.033,1
"GOT1",0.0417255688526001,1.08478613827686,0.025,0.014,1
"SWSAP1",0.041808177986579,-0.457702109918059,0.02,0.033,1
"TM7SF2",0.0418903624559621,0.868729950411742,0.021,0.011,1
"SLC39A9",0.0419211238103393,-0.75445106154956,0.011,0.02,1
"ENDOG",0.04194552667157,-0.782968922489439,0.011,0.02,1
"WBP11",0.0420010390881436,0.276417389743433,0.101,0.077,1
"VRK2",0.0420215332871743,-0.592470555130922,0.028,0.043,1
"TMEM126A",0.0420542908794306,0.625299690615366,0.09,0.07,1
"SREBF2",0.0421226646503268,-0.556676306109014,0.021,0.033,1
"MAGED2",0.0422763661033432,0.404621784853438,0.119,0.096,1
"HOOK3",0.0423326787476886,-0.458294182889834,0.044,0.062,1
"RP4-758J18.2",0.0423402811639211,0.691554595018044,0.043,0.029,1
"INTS3",0.0424607705522357,-0.717616186375225,0.011,0.02,1
"PARP4",0.0424653873921457,-0.668918064039032,0.033,0.049,1
"RAD1",0.0424682844150723,0.835474722047031,0.036,0.023,1
"ZC2HC1A",0.0425595167460612,-0.671838899766507,0.011,0.02,1
"METTL4",0.0426106336548329,0.694370983844074,0.031,0.019,1
"KDM6B",0.0426931921150545,-0.415837543871706,0.045,0.064,1
"THEM6",0.0428065626559901,1.04042035681118,0.029,0.017,1
"DNAAF2",0.0428808208772442,0.475649982556789,0.062,0.044,1
"TFCP2",0.042955833964376,-0.893962883092483,0.016,0.027,1
"SUMO3",0.0430604647123664,-0.67240932303775,0.196,0.231,1
"ZCCHC7",0.0431326467316314,-0.57797845674222,0.058,0.077,1
"ATXN2L",0.0431917873555139,-0.394432298022084,0.064,0.085,1
"ABCA7",0.0432061120160203,-0.633202583350323,0.011,0.02,1
"C5orf28",0.0433834028735656,0.705632775216981,0.027,0.015,1
"C7orf60",0.0434373939905386,-1.11979136249281,0.011,0.021,1
"IGSF8",0.043453198665524,0.519951562053753,0.053,0.037,1
"JMY",0.0434676372189182,1.34603666926718,0.017,0.008,1
"KDM5B",0.0434750862527232,-1.34343172943927,0.008,0.016,1
"CTD-2562J15.6",0.0435150092810552,1.49808630666611,0.013,0.006,1
"TBL2",0.0435512091781226,-0.355278793267753,0.015,0.026,1
"ARL8B",0.0435541287642608,-0.459122701203524,0.029,0.044,1
"SNTB2",0.0435767690613258,1.35218068808974,0.017,0.008,1
"TUFM",0.0436991981714498,-0.285062649041581,0.226,0.266,1
"SNRPB2",0.0437291355855196,0.388184755617921,0.142,0.118,1
"C6orf1",0.0439017066263445,-0.47982680814689,0.072,0.094,1
"NTMT1",0.0439794470527624,0.329036415481367,0.079,0.059,1
"ITGB1",0.0444152563702407,0.554052786927568,0.073,0.055,1
"TRNT1",0.0444479235378419,0.923613034921464,0.034,0.021,1
"C16orf45",0.0444579470370028,1.19831999827491,0.013,0.006,1
"CETN3",0.0445531820029563,0.85685176271231,0.013,0.006,1
"KIAA1147",0.0445849652152657,1.21606731441197,0.013,0.006,1
"LYRM1",0.0446066294185077,0.345536914305485,0.084,0.064,1
"BICD2",0.0446222876251112,-0.980112626135576,0.016,0.028,1
"VPS28",0.0447440305271628,-0.276955177666042,0.339,0.377,1
"KDM7A",0.0447738071417412,-0.766369994992251,0.016,0.028,1
"IFIH1",0.0448168329245015,-0.420109452558799,0.029,0.044,1
"BLCAP",0.0448821654828596,-0.639065822469968,0.069,0.09,1
"TPCN2",0.0449508426213045,-0.655008952264888,0.008,0.016,1
"KMT2B",0.045235448440605,1.27779358225025,0.019,0.01,1
"RPRD1A",0.0452377951835605,-0.45153550210985,0.033,0.048,1
"TRA2A",0.0452572711086874,-0.479433572773383,0.069,0.091,1
"ACOT13",0.0453663448711852,1.13177195924652,0.034,0.021,1
"CA5B",0.0453668959670888,0.560568211625722,0.038,0.024,1
"MRPL49",0.0455653925086139,0.401751808181163,0.078,0.058,1
"GALNT6",0.0455919896401792,-0.819805314841537,0.011,0.021,1
"PVRIG",0.0456770312914097,0.554691851576508,0.013,0.006,1
"MARK4",0.0458883747567733,-1.44649631118008,0.004,0.01,1
"SRSF11",0.0459299283308787,0.256684617686644,0.259,0.231,1
"KPNA3",0.0459734896765505,0.563159086383111,0.055,0.038,1
"DTYMK",0.0462030859961059,-0.54562267192731,0.055,0.075,1
"AGAP3",0.0462515218555767,-1.24733216021777,0.004,0.01,1
"GPR18",0.0463228677243384,-0.802565230316277,0.035,0.051,1
"HGS",0.0463622471171626,-0.351449098030685,0.029,0.044,1
"CLASP2",0.0463847702555063,-0.473447508749981,0.023,0.037,1
"DYNC1LI1",0.0464594369522035,-0.321120913265183,0.045,0.063,1
"ZSCAN9",0.0464655474455681,-1.4314092120733,0.006,0.013,1
"TDG",0.0464823435624495,1.25302760044693,0.065,0.047,1
"TIMM9",0.0466000351708074,0.485884342561041,0.109,0.086,1
"IFT74",0.046632120597679,1.00242142174739,0.021,0.011,1
"SMYD3",0.0466460515490572,0.523425480847903,0.049,0.033,1
"RP11-448A19.1",0.0467394794458808,-0.868637364384118,0.004,0.01,1
"CAPN7",0.0467451109099501,0.767428560036326,0.037,0.024,1
"DCUN1D5",0.0467717500516658,0.555898636918671,0.067,0.049,1
"DDT",0.0469291016667064,-0.631280959018985,0.179,0.211,1
"PPP1R12A",0.046942607334943,0.282080463237948,0.166,0.139,1
"NCLN",0.047073794930804,-0.777303028877907,0.018,0.029,1
"AVPI1",0.0470855061046998,-1.15469808445085,0.006,0.013,1
"COPS3",0.047099376022735,-0.291608217872199,0.092,0.117,1
"NBPF14",0.0472242155809058,-1.15199004268569,0.006,0.013,1
"SESN3",0.0472312560897958,0.502551441405594,0.034,0.021,1
"NARF",0.047299001369266,0.286447467921395,0.093,0.072,1
"TNFSF14",0.0473572787573144,0.924994517919305,0.019,0.01,1
"TMPO",0.047379429552256,-0.309185381886239,0.062,0.083,1
"KLHL6",0.0474395164084574,-0.980346327456824,0.016,0.028,1
"TOMM5",0.0475044368993369,0.608095141156669,0.065,0.048,1
"HCG18",0.0475909450209104,0.66310712065565,0.039,0.025,1
"ATXN10",0.0476338092380059,-0.400896870183067,0.113,0.141,1
"GSE1",0.0477092822417028,-0.961942046203349,0.009,0.017,1
"DNMT3A",0.0478585198723565,1.40478606398465,0.028,0.016,1
"RP11-109G23.3",0.0478740612205683,-0.852746060620086,0.009,0.017,1
"CBX7",0.0478781978269402,0.506340976189371,0.055,0.038,1
"GABPB2",0.0479494549785897,0.652267344372589,0.032,0.02,1
"PATZ1",0.0480017790733054,0.655098139986033,0.032,0.02,1
"SLC27A1",0.0480844691805225,1.43290326523654,0.009,0.017,1
"ACSL4",0.0483912673159648,-0.658779322692397,0.012,0.022,1
"PARP16",0.0484073506324663,0.476914232756078,0.019,0.01,1
"GAB3",0.048516059592311,-0.415004200905222,0.017,0.029,1
"ZNF318",0.0486281009429105,-0.927018756819381,0.013,0.023,1
"KRBOX4",0.0486661965413682,0.902200273827845,0.041,0.027,1
"ZNF75D",0.0486831132323247,1.16149491737463,0.012,0.005,1
"KIAA0922",0.0487467038548739,-0.309215991675417,0.034,0.05,1
"RP5-1091N2.9",0.0487602799923301,-0.520795998121815,0.012,0.022,1
"PMVK",0.0487854051795936,-0.50992108991018,0.131,0.162,1
"TSPAN15",0.0488288104625789,1.61992957615124,0.012,0.005,1
"ZNF507",0.0488652919117385,1.17307115470678,0.012,0.005,1
"EMD",0.0489229686753871,0.342361499884255,0.104,0.083,1
"SHPRH",0.048933927296599,0.801768331304696,0.03,0.018,1
"TBC1D19",0.0489854738955589,0.879513145306883,0.021,0.011,1
"S1PR1",0.0490957047610703,0.593361242036038,0.039,0.025,1
"ORMDL1",0.0492608279362237,0.3162957077262,0.203,0.174,1
"TUT1",0.0495187189151247,0.628719035106872,0.023,0.013,1
"AKT1S1",0.0495321741924852,-0.662485515339944,0.018,0.029,1
"PURA",0.0495455802910405,2.01561170256226,0.021,0.011,1
"DPP3",0.0495523654647676,-0.550524482285012,0.027,0.041,1
"FNIP2",0.0496394516550362,-0.466910699467735,0.012,0.022,1
"TGDS",0.0496574337637234,0.789730274871112,0.026,0.015,1
"AC084018.1",0.0497507700488873,1.16863672010269,0.03,0.019,1
"TNK2",0.0497866121944398,-0.261497281793953,0.024,0.037,1
"FBXL3",0.0498160037018127,0.403104487478037,0.066,0.048,1
"BDH2",0.0498297791932323,0.559976083255986,0.037,0.024,1
"LRCH3",0.0498908821748092,0.681454737367409,0.03,0.018,1
"TMCO6",0.0499251506487828,0.834645903876602,0.026,0.015,1
"TIPRL",0.0500161208258991,0.442395650215524,0.069,0.051,1
"ADAM8",0.0501022818237184,-0.631564557042078,0.062,0.082,1
"DAXX",0.0501298409721389,0.494106209458806,0.086,0.067,1
"RBM48",0.0501832642172186,0.386177538040823,0.03,0.018,1
"SCP2",0.0505324301808179,-0.419383671639209,0.258,0.294,1
"ZZZ3",0.0505579579050488,0.606571786335092,0.028,0.016,1
"LRWD1",0.0506051889610093,0.717403123943724,0.028,0.016,1
"FAM127B",0.0508407091197432,-0.368101577898949,0.024,0.037,1
"VNN2",0.0508915638708478,-0.63395534196222,0.03,0.045,1
"THAP1",0.0509031681909105,0.727015175271169,0.051,0.036,1
"ANKRD49",0.0509460819660781,0.690994200208929,0.026,0.015,1
"NOB1",0.0513625411646943,0.294094692279941,0.116,0.094,1
"TACC3",0.0514297417750103,0.346138201374009,0.063,0.046,1
"KRT18",0.0515458396223871,0.53882059999808,0.016,0.007,1
"TMEM161B",0.0515525138386834,1.31980764007176,0.018,0.009,1
"AP2M1",0.0515596537308813,-0.318845263731885,0.292,0.331,1
"TECPR1",0.0517528029885639,0.578966562554012,0.053,0.037,1
"ZNF573",0.0518759454443509,0.646278225427892,0.016,0.007,1
"SCYL1",0.0518772872370743,0.55772304262283,0.05,0.035,1
"ALDH1B1",0.0519378588729309,1.98668316206415,0.011,0.004,1
"KCTD6",0.0521110067238996,-0.58285983278742,0.019,0.031,1
"NEK3",0.0523117641260124,-1.17936748354437,0.006,0.014,1
"RP5-1068E13.7",0.0523218525583489,1.17123404124746,0.018,0.009,1
"CKS2",0.0524037629257871,-0.545670665012089,0.03,0.045,1
"BCL10",0.0524478162308943,-0.747775443918405,0.032,0.046,1
"DGCR6",0.0524577232585008,-0.62580435787339,0.013,0.024,1
"TTC37",0.0525140484181406,0.849727803262566,0.03,0.019,1
"HN1L",0.0525389789184294,1.07681977913323,0.018,0.009,1
"PPP2R2A",0.0526051219159236,0.397455820859131,0.069,0.051,1
"CCL28",0.05265670685458,0.477980477890191,0.026,0.015,1
"FLJ00104",0.052683220327177,1.57697586213495,0.011,0.004,1
"CCDC88B",0.0528330842210923,-0.69625234134973,0.03,0.045,1
"RP11-386I14.4",0.0528595574609555,-1.05137154209208,0.006,0.014,1
"MRPS16",0.0528652115479136,-0.262354004066855,0.107,0.134,1
"TMEM159",0.0528799560175557,0.863038375339162,0.035,0.023,1
"ABCF2",0.0529323606699321,0.520757201328672,0.04,0.026,1
"LAMTOR3",0.0530478529384535,-0.424697976948908,0.028,0.042,1
"IQGAP2",0.0531151166383624,-0.365256955948027,0.072,0.094,1
"AARSD1",0.0531400521474714,0.916253319756863,0.03,0.019,1
"PSME3",0.0531758806513617,-0.386855398791151,0.045,0.063,1
"PRMT6",0.0531850786869263,1.16354533115465,0.011,0.004,1
"RP1-39G22.7",0.0531983300823875,0.661357318349762,0.03,0.019,1
"TMEM41B",0.0532494232557699,0.28716282370082,0.042,0.028,1
"C6orf57",0.0532691087972075,1.19803092664464,0.011,0.004,1
