"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00466573498040979,2.52515804339561,0.25,0.024,1,"CMP","MED27"
0.00470623590389518,3.05356802833378,0.25,0.025,1,"CMP","FAR1"
0.00471516124710614,0.727125355115124,1,0.997,1,"CMP","RPS2"
0.00477778210233115,1.63297987442657,1,0.49,1,"CMP","ZFAS1"
0.00481438922092137,2.90387468425651,0.25,0.025,1,"CMP","RNF40"
0.0048509369319063,2.96946198232551,0.25,0.025,1,"CMP","UTP14A"
0.00485093702688388,2.9713380756163,0.25,0.025,1,"CMP","SECTM1"
0.0048682287511379,3.86117074337169,0.25,0.027,1,"CMP","ANAPC7"
0.00488773557437616,2.37161305750969,0.25,0.025,1,"CMP","ZBED5-AS1"
0.00491730883503116,1.94550487281561,0.5,0.08,1,"CMP","SCOC"
0.00492110173139637,1.54352007213171,1,0.276,1,"CMP","MTDH"
0.00493956759002967,1.49167253855,0.75,0.162,1,"CMP","POLR2E"
0.00494597273367203,1.81046400952035,0.5,0.08,1,"CMP","ATF1"
0.00496209139022574,2.73640915553312,0.25,0.025,1,"CMP","PDS5B"
0.00503746868679089,2.57609393494697,0.25,0.025,1,"CMP","TMEM245"
0.00505661207271779,1.18714844389846,1,0.86,1,"CMP","PABPC1"
0.00507554430621915,2.37633199643978,0.25,0.025,1,"CMP","YPEL1"
0.00523523078615873,3.61178358524192,0.25,0.027,1,"CMP","ZZEF1"
0.00524800340868858,2.21986365689438,0.5,0.088,1,"CMP","TSPAN32"
0.00528529576944559,3.62194370069366,0.25,0.026,1,"CMP","RNPC3"
0.00529702164576951,3.82045066338096,0.25,0.027,1,"CMP","C2orf47"
0.00531795627611231,0.717216890607184,1,0.996,1,"CMP","RPS3"
0.00534608994264252,1.11492789611877,0.75,0.148,1,"CMP","TMEM165"
0.00537364080501002,3.81819132218363,0.25,0.027,1,"CMP","DDX28"
0.00538677636100293,2.92713201789029,0.25,0.025,1,"CMP","COG1"
0.00538677646266006,2.9103504734133,0.25,0.025,1,"CMP","ALG6"
0.00542693197736832,2.82682727892228,0.25,0.025,1,"CMP","RBM28"
0.00546735794968356,2.49590661348716,0.25,0.025,1,"CMP","PAAF1"
0.00549130252943386,2.27661611679719,0.5,0.09,1,"CMP","SMAP1"
0.00553514144399059,2.05460992638653,0.5,0.088,1,"CMP","RASSF1"
0.00559519260926855,1.69706837565271,0.5,0.082,1,"CMP","SERINC3"
0.00562972809593676,3.76094304638135,0.25,0.027,1,"CMP","ZDHHC16"
0.00565691836070559,1.6143974629565,1,0.292,1,"CMP","GYPC"
0.00566571895650303,2.95254042190078,0.25,0.025,1,"CMP","PROSER1"
0.00569022505117611,3.54246140107723,0.25,0.027,1,"CMP","RPP14"
0.00574944347879058,2.90651899592865,0.25,0.025,1,"CMP","NEIL2"
0.00574944347879058,2.78571155761149,0.25,0.025,1,"CMP","CRTAM"
0.00575727302450502,1.785554565006,0.75,0.181,1,"CMP","EPSTI1"
0.0057969060311418,1.72408755901321,0.75,0.173,1,"CMP","SRRM1"
0.00582247185315099,2.39564366788806,0.5,0.095,1,"CMP","AK2"
0.00583428197149094,2.83725811842692,0.25,0.025,1,"CMP","SFXN4"
0.00587712268651441,2.44345904593244,0.25,0.025,1,"CMP","KDM3B"
0.00587712290109033,2.56539413845972,0.25,0.025,1,"CMP","OMA1"
0.00587712300837828,2.85354315496832,0.25,0.025,1,"CMP","IMPA1"
0.00588397637234039,1.80901205270052,0.5,0.084,1,"CMP","MRPL12"
0.00594095693947172,1.52010527350705,0.75,0.167,1,"CMP","H1FX"
0.00596122636920549,1.84769685743053,1,0.422,1,"CMP","GPX1"
0.00596554744974731,0.639688755786036,1,0.996,1,"CMP","RPL15"
0.00608129387701983,2.88970189241759,0.25,0.026,1,"CMP","ZMYM5"
0.00608129398565538,2.9469758562902,0.25,0.026,1,"CMP","AP2A2"
0.00610816137260972,3.27567707212476,0.25,0.026,1,"CMP","MAU2"
0.0062146272729362,2.83722054209975,0.25,0.026,1,"CMP","NOL10"
0.0062146272729362,2.94788619890282,0.25,0.026,1,"CMP","ENOSF1"
0.00621462738342671,2.92207105657939,0.25,0.026,1,"CMP","TLE3"
0.00627350868293464,3.72406618266775,0.25,0.028,1,"CMP","TMEM39B"
0.00635058663156185,2.56497684702361,0.25,0.026,1,"CMP","C6orf136"
0.00635058708104319,2.76391933464259,0.25,0.026,1,"CMP","PATZ1"
0.00644270797714519,2.58911247973981,0.25,0.026,1,"CMP","PI4KA"
0.00646841033018286,2.96375432539349,0.25,0.026,1,"CMP","UPRT"
0.00651380795988499,2.15239961322658,0.5,0.092,1,"CMP","DYNLT3"
0.00653592982914608,0.931219253241856,1,0.951,1,"CMP","RPLP0"
0.00658363716490817,3.15433623038817,0.25,0.027,1,"CMP","TMEM106A"
0.00660835686866235,2.80065210709456,0.25,0.026,1,"CMP","OGFOD1"
0.00667282541242042,2.21990485947246,0.75,0.265,1,"CMP","SNHG7"
0.00670316121457004,2.87609189236256,0.25,0.026,1,"CMP","CRELD1"
0.006799186275535,2.63180110128125,0.25,0.026,1,"CMP","BROX"
0.00680768118085195,1.36255544490744,1,0.291,1,"CMP","CLTA"
0.0068593601220599,1.72034901320613,0.5,0.084,1,"CMP","UROD"
0.00689644560261193,2.06095568159446,0.25,0.026,1,"CMP","ARMC7"
0.00694554260586266,2.38805525583257,0.25,0.026,1,"CMP","PDCD4-AS1"
0.00702418428772034,3.67516902906212,0.25,0.028,1,"CMP","PITPNA"
0.00703120871490714,1.65704226689081,0.5,0.084,1,"CMP","CNOT2"
0.00706493305804856,2.80049105207563,0.25,0.027,1,"CMP","VPS45"
0.00711475954707042,2.76979299648772,0.25,0.027,1,"CMP","CRADD"
0.00721113527205075,0.727804638254393,1,0.987,1,"CMP","RPL29"
0.00729012393606032,1.69891508750068,0.5,0.093,1,"CMP","NT5C3A"
0.00729408396730968,1.731873362619,0.5,0.085,1,"CMP","THOC2"
0.00731723419182018,2.6789258598245,0.25,0.027,1,"CMP","CCDC14"
0.00736865384333263,2.54438417899927,0.25,0.027,1,"CMP","FNDC3A"
0.00736865396598141,2.51250001785367,0.25,0.027,1,"CMP","LTBP4"
0.00739758648876321,1.74954644765812,0.75,0.193,1,"CMP","CYC1"
0.00742039753318657,2.44074083606413,0.25,0.027,1,"CMP","KIAA0247"
0.00742039777981263,2.37941317118987,0.25,0.027,1,"CMP","RQCD1"
0.00747246701792315,2.70401488851825,0.25,0.027,1,"CMP","FHOD1"
0.00748523542633195,1.016240110422,1,0.996,1,"CMP","RPL3"
0.00748987015391367,1.31090368234427,1,0.309,1,"CMP","AP2M1"
0.00751709707884363,3.59458968905926,0.25,0.028,1,"CMP","TRIM13"
0.00754241896020336,0.993539352635168,1,0.962,1,"CMP","H3F3B"
0.00755935803189645,1.62336211824685,0.5,0.087,1,"CMP","SEPHS2"
0.00760350839691037,3.08516450277265,0.25,0.027,1,"CMP","INTS8"
0.00761888491183593,3.5957309044781,0.25,0.029,1,"CMP","ZMPSTE24"
0.00768975671912631,1.31624582075526,1,0.508,1,"CMP","VAMP8"
0.00775151061666968,2.63554659179607,0.25,0.027,1,"CMP","SLC35B3"
0.00775151099409843,2.33640262765741,0.25,0.027,1,"CMP","DIS3"
0.00775630712891595,1.45945112278449,0.75,0.164,1,"CMP","CCT6A"
0.00780528937058822,2.81762107960543,0.25,0.027,1,"CMP","WDTC1"
0.00780528937058822,2.77385783283506,0.25,0.027,1,"CMP","CTSF"
0.00783892823384269,1.52226901087289,0.75,0.175,1,"CMP","LSMD1"
0.0078594020369227,1.57373634173642,0.25,0.027,1,"CMP","MADD"
0.00796863635406275,2.47033110184186,0.25,0.027,1,"CMP","CASP3"
